date,latitude,longitude,daily_mean_dust,monthly_mean,above_monthly_avg
2024-10-15,16.0,34.375,4.0550732041666667e-08,1.288914155799479e-07,False
2024-10-15,16.0,35.0,4.120678108333333e-08,8.632827491015624e-08,False
2024-10-15,16.0,35.625,4.4018332041666666e-08,7.246796807786458e-08,False
2024-10-15,16.0,36.25,5.429471229166667e-08,7.561271085729166e-08,False
2024-10-15,16.0,36.875,4.501794254166667e-08,5.7281198773984375e-08,False
2024-10-15,16.0,37.5,3.3229943724999996e-08,3.619013911096354e-08,False
2024-10-15,16.0,38.125,3.1170127954166665e-08,3.386414347606771e-08,False
2024-10-15,16.0,38.75,3.994318941666667e-08,4.3630824655364584e-08,False
2024-10-15,16.0,39.375,5.081043870833333e-08,5.785186505658854e-08,False
2024-10-15,16.0,40.0,5.382996045833333e-08,6.375756165028645e-08,False
2024-10-15,16.0,40.625,6.222338429166667e-08,6.740800459375e-08,False
2024-10-15,16.0,41.25,7.715425595833333e-08,6.506310571526563e-08,True
2024-10-15,16.0,41.875,9.0248553875e-08,7.200219201161459e-08,True
2024-10-15,16.0,42.5,8.590965783333333e-08,7.633430376354167e-08,True
2024-10-15,16.0,43.125,8.860297479166667e-08,8.825857911197916e-08,True
2024-10-15,16.0,43.75,5.496137229166667e-08,5.931361672942708e-08,False
2024-10-15,16.0,44.375,6.787801558333334e-08,6.2257826153125e-08,True
2024-10-15,16.0,45.0,9.874687262499999e-08,8.571427705885416e-08,True
2024-10-15,16.0,45.625,1.21909882625e-07,1.042439716203125e-07,True
2024-10-15,16.0,46.25,1.31027870625e-07,1.1190355598020833e-07,True
2024-10-15,16.0,46.875,1.2786404133333333e-07,1.0214854783567709e-07,True
2024-10-15,16.0,47.5,1.1718293616666667e-07,8.40232280296875e-08,True
2024-10-15,16.0,48.125,1.1659358379166667e-07,7.633145612890625e-08,True
2024-10-15,16.0,48.75,1.3236300958333334e-07,7.888905952473959e-08,True
2024-10-15,16.0,49.375,1.4231894541666665e-07,7.940610263854167e-08,True
2024-10-15,16.0,50.0,1.4789232833333334e-07,7.850159569765625e-08,True
2024-10-15,16.0,50.625,1.3775449508333332e-07,7.326736861510417e-08,True
2024-10-15,16.0,51.25,1.11861785625e-07,7.045322381901041e-08,True
2024-10-15,16.0,51.875,1.0034879508333333e-07,6.772395568177084e-08,True
2024-10-15,16.0,52.5,4.792536989583334e-08,4.4531354097395836e-08,True
