time,station
13/08/2022 08:00,OMAA
14/08/2022 02:00,OMAA
14/08/2022 02:01,OMAA
14/08/2022 02:11,OMAA
14/08/2022 02:24,OMAA
14/08/2022 02:39,OMAA
14/08/2022 03:00,OMAA
14/08/2022 04:00,OMAA
14/08/2022 05:00,OMAA
14/08/2022 06:00,OMAA
14/08/2022 07:00,OMAA
14/08/2022 08:00,OMAA
14/08/2022 09:00,OMAA
14/08/2022 10:00,OMAA
14/08/2022 11:00,OMAA
14/08/2022 12:00,OMAA
14/08/2022 13:00,OMAA
14/08/2022 14:00,OMAA
14/08/2022 15:00,OMAA
14/08/2022 16:00,OMAA
14/08/2022 17:00,OMAA
14/08/2022 18:00,OMAA
14/08/2022 19:00,OMAA
14/08/2022 20:00,OMAA
14/08/2022 21:00,OMAA
14/08/2022 22:00,OMAA
14/08/2022 23:00,OMAA
15/08/2022 00:00,OMAA
15/08/2022 01:00,OMAA
15/08/2022 02:00,OMAA
15/08/2022 02:17,OMAA
15/08/2022 03:00,OMAA
15/08/2022 04:00,OMAA
15/08/2022 05:00,OMAA
15/08/2022 06:00,OMAA
15/08/2022 07:00,OMAA
15/08/2022 08:00,OMAA
15/08/2022 09:00,OMAA
15/08/2022 09:15,OMAA
15/08/2022 10:00,OMAA
15/08/2022 11:00,OMAA
15/08/2022 11:17,OMAA
19/08/2022 05:00,OMAA
19/08/2022 06:00,OMAA
22/08/2022 05:00,OMAA
22/08/2022 06:00,OMAA
22/08/2022 10:00,OMAA
22/08/2022 11:00,OMAA
27/08/2022 04:18,OMAA
27/08/2022 05:00,OMAA
27/08/2022 05:39,OMAA
2/9/2022 13:00,OMAA
4/9/2022 2:00,OMAA
4/9/2022 2:20,OMAA
20/09/2022 05:00,OMAA
20/09/2022 05:02,OMAA
20/09/2022 06:00,OMAA
4/10/2022 4:00,OMAA
4/10/2022 4:01,OMAA
4/10/2022 5:00,OMAA
9/11/2022 14:00,OMAA
